time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,8,1,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,2,2,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5761,0,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17,0,17,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,9,37,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,4,3,7,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8,8,16,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,4,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,26,0,26,178,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,177,0,0,0,0,0,1,0,0,0,1,0,0,0,1
72,1,1,2,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,2,177,0,0,0,0,0,1,0,0,0,1,0,0,0,1
74,53,3,56,227,0,0,0,0,0,1,0,0,0,1,0,0,0,1
10,8,12,20,223,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,1,0,1,224,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,34,1,35,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,3,4,215,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,5,2,7,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,36,0,36,273,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,0,36,36,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1
510,117,22,139,332,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,12,0,12,344,0,0,0,0,0,0,0,0,0,1,0,0,0,1
148,35,4,39,375,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,13,12,25,376,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,17,3,20,390,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,14,1,15,403,0,0,0,0,0,0,0,0,0,1,0,0,0,1
219,24,1,25,426,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,6,2,8,430,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1480,34,0,34,464,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9,92,1,93,521,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,26,0,26,490,0,0,0,0,0,1,0,0,0,1,0,0,0,1
15,4,0,4,494,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,25,25,50,521,0,0,0,0,0,0,0,0,0,1,0,0,0,1
530,18,0,18,603,0,0,0,0,0,1,0,0,0,1,0,0,0,1
75,1,1,2,585,0,0,0,0,0,1,0,0,0,1,0,0,0,1
49,31,0,31,616,1,0,0,0,0,1,0,0,0,1,0,0,0,1
350,0,18,18,616,1,0,0,0,0,1,0,0,0,1,0,0,0,1
70,4,5,9,615,1,0,0,0,0,1,0,0,0,1,0,0,0,1
59,18,0,18,633,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,2,633,1,0,0,0,0,1,0,0,0,1,0,0,0,1
392,3,3,6,633,1,0,0,0,0,1,0,0,0,1,0,0,0,1
7,45,0,45,678,1,0,0,0,0,1,0,0,0,1,0,0,0,1
405,1,2,3,677,1,0,0,0,0,1,0,0,0,1,0,0,0,1
81,23,15,38,685,1,0,0,0,0,1,0,0,0,1,0,0,0,1
77,3,3,6,769,1,0,0,0,0,1,0,0,0,1,0,0,0,1
32,42,0,42,727,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,4,9,13,722,1,0,0,0,0,1,0,0,0,1,0,0,0,1
313,3,3,6,722,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3,71,1,72,755,1,0,0,0,0,1,0,0,0,1,0,0,0,1
249,14,0,14,769,1,0,0,0,0,1,0,0,0,1,0,0,0,1
280,36,0,36,842,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1013,0,842,842,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,2,14,404,0,0,0,0,0,0,0,0,1,1,0,0,0,1
