time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,10,6,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,5,13,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,22,12,34,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,3,0,3,31,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,5,2,7,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,14,2,16,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,10,3,13,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,1,1,2,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,19,9,28,63,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,28,33,61,58,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,20,8,28,70,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,0,9,9,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,1,1,2,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,13,7,20,67,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,11,12,23,66,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,3,3,6,66,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,10,6,16,70,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,2,2,4,70,0,0,0,0,0,0,0,0,0,1,0,0,0,1
147,1,0,1,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1296,2,0,2,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
550,3,0,3,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,4,1,5,79,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,34,3,37,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,1,1,2,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5,5,10,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,0,3,3,107,0,0,0,0,0,0,0,0,0,1,0,0,0,1
