time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,22,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,8,6,14,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,29,18,47,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,1,1,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7,1,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,7,6,13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,18,13,31,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
236,1,0,1,47,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,0,1,1,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1,1,2,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,3,1,4,48,0,0,0,0,0,0,0,0,0,1,0,0,0,1
287,2,1,3,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,2,1,3,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,4,4,8,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
169,2,2,4,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,2,1,3,51,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,6,4,10,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,8,6,14,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,2,4,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,1,3,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,5,3,8,58,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1,1,2,58,0,0,0,0,0,0,0,0,0,1,0,0,0,1
423,19,16,35,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,1,62,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,63,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,12,2,14,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
108,4,1,5,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,2,4,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1,0,1,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,1,1,2,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,1,0,1,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,10,3,13,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5,3,8,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,6,8,14,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
97,11,10,21,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1
