time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,9,1,10,67,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,6,1,7,72,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,1,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,6,1,7,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,2,2,4,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,10,5,15,83,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,19,5,24,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1
367,8,1,9,104,0,0,0,0,0,0,0,0,0,1,0,0,0,1
820,1,1,2,104,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,11,15,26,100,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2,0,2,102,0,0,0,0,0,0,0,0,0,1,0,0,0,1
600,11,7,18,106,0,0,0,0,0,0,0,0,0,1,0,0,0,1
926,0,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,14,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,12,41,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3086,7,5,12,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1688,1,0,1,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1346,8,1,9,52,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,0,21,21,31,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1
309,35,1,36,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4109,3,2,5,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
507,1,1,2,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
