time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,11,2,13,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1
198,2,2,4,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41,14,3,17,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130,63,2,65,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1
184,32,5,37,117,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83,28,5,33,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,1,1,2,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1
570,12,1,13,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,2,1,3,152,0,0,0,0,0,0,0,0,0,1,0,0,0,1
512,6,2,8,156,0,0,0,0,0,0,0,0,0,1,0,0,0,1
879,1,157,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3939,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,132,17,149,315,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,8,4,12,319,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1,0,1,320,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,23,3,26,340,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,39,10,49,369,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,15,7,22,377,0,0,0,0,1,0,0,0,0,1,0,0,0,1
14,1,1,2,377,0,0,0,0,1,0,0,0,0,1,0,0,0,1
101,6,14,20,369,0,0,0,0,1,0,0,0,0,1,0,0,0,1
171,130,91,221,408,0,0,0,0,1,0,0,0,0,1,0,0,0,1
184,105,62,167,451,0,0,0,0,1,0,0,0,0,1,0,0,0,1
83,2,1,3,452,0,0,0,0,1,0,0,0,0,1,0,0,0,1
18,42,0,42,494,0,0,0,0,0,0,0,0,0,1,0,0,1,1
570,10,1,11,503,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,8,4,12,507,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,28,2,30,533,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,25,11,36,547,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,1,1,2,547,0,0,0,0,1,0,0,0,0,1,0,0,0,1
73,2,80,82,469,0,0,0,0,1,0,0,0,0,1,0,0,0,1
119,57,9,66,517,0,0,0,0,1,0,0,0,0,1,0,0,0,1
24,32,3,35,546,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,10,1,11,555,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,8,1,9,562,0,0,0,0,1,0,0,0,0,1,0,0,0,1
92,25,13,38,574,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11,2,2,4,574,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2,3,3,6,574,0,0,0,0,1,0,0,0,0,1,0,0,0,1
71,126,112,238,588,0,0,0,0,1,0,0,0,0,1,0,0,0,1
121,1,1,2,588,0,0,0,0,1,0,0,0,0,1,0,0,0,1
836,11,7,18,592,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,5,1,6,596,0,0,0,0,1,0,0,0,0,1,0,0,0,1
261,21,6,27,611,0,0,0,0,1,0,0,0,0,1,0,0,0,1
18,29,7,36,633,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,2,2,4,633,0,0,0,0,1,1,0,0,0,1,0,0,0,1
461,2,0,2,635,0,0,0,0,1,1,0,0,0,1,0,0,0,1
172,2,0,2,637,0,0,0,0,1,1,0,0,0,1,0,0,0,1
163,1,1,2,637,0,0,0,0,1,1,0,0,0,1,0,0,0,1
238,1,1,2,637,0,0,0,0,1,1,0,0,0,1,0,0,0,1
794,98,51,149,684,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3,15,7,22,692,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,20,11,31,701,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,16,15,31,702,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,3,1,4,704,0,0,0,0,1,0,0,0,0,1,0,0,0,1
