time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,31,0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,0,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,16,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,17,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,17,39,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,32,5,37,62,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,8,1,9,69,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,7,7,14,69,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,7,4,11,72,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,6,1,7,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,22,0,22,91,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,4,8,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
307,28,50,78,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,1,1,2,77,0,0,0,0,0,0,0,0,0,1,0,0,1,1
577,31,31,62,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1093,2,1,3,78,0,0,0,0,0,0,0,0,0,1,0,0,0,1
220,39,55,94,62,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,13,3,16,72,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,9,4,13,77,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,23,0,23,100,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,150,59,209,191,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,191,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,5,2,7,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,50,11,61,233,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,7,200,207,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,5,8,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,26,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,5,2,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,1,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,5,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,85,2,87,92,0,0,0,0,0,0,0,1,0,1,0,0,0,1
97,5,1,6,96,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,33,0,33,129,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,3,3,6,129,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,4,0,4,133,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,10,7,17,136,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,6,1,7,141,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,20,17,37,144,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,12,4,16,152,0,0,0,0,0,0,0,1,0,1,0,0,0,1
451,3,3,6,152,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,4,69,73,87,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,2,2,4,87,0,0,0,0,0,0,0,1,0,1,0,0,0,1
58,1,1,2,87,0,0,0,0,0,0,0,1,0,1,0,0,0,1
13,13,7,20,93,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,0,2,2,91,0,0,0,0,0,0,0,1,0,1,0,0,0,1
17,69,5,74,155,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5,5,0,5,160,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,24,2,26,182,0,0,0,0,0,0,0,1,0,1,0,0,0,1
47,13,8,21,187,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,11,4,15,194,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,0,1,195,0,0,0,0,0,0,0,1,0,1,0,0,0,1
391,1,1,2,195,0,0,0,0,0,0,0,1,0,1,0,0,0,1
31,10,11,21,194,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,41,0,41,235,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,1,0,1,236,0,0,0,0,0,0,0,1,0,1,0,0,0,1
24,8,7,15,237,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1061,0,2,2,235,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,2,0,2,237,0,0,0,0,0,0,0,1,0,1,0,0,0,1
122,2,0,2,239,0,0,0,0,0,0,0,1,0,1,0,0,0,1
