time,prevBugs,smelly,event
1646,0,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
4589,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
308,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
4026,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1401,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
748,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
4909,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
126,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1492,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1735,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
229,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
311,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
33,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
28,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
9,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
120,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
60,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
317,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
20,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
5,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
869,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
377,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
24,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
123,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
147,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
538,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
41,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
205,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
80,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
107,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
110,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
43,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
172,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
141,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
699,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
71,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
22,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
88,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
153,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
173,1,1,1
0,1,1,1
