time,prevBugs,smelly,event
7305,0,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1083,1,1,1
0,1,1,1
1228,1,1,1
0,1,1,1
1678,1,1,1
0,1,1,1
442,1,1,1
0,1,1,1
1,1,1,1
0,1,1,1
419,1,1,1
0,1,1,1
222,1,1,1
0,1,1,1
9,1,1,1
0,1,1,1
203,1,1,1
0,1,1,1
18,1,1,1
0,1,1,1
28,1,1,1
0,1,1,1
359,1,1,1
0,1,1,1
212,1,1,1
0,1,1,1
362,1,1,1
0,1,1,1
3,1,1,1
0,1,1,1
3775,1,1,1
0,1,1,1
130,1,1,1
0,1,1,1
182,1,1,1
0,1,1,1
2771,1,1,1
0,1,1,1
4417,0,1,1
0,1,1,1
4813,1,1,1
0,1,1,1
5273,1,1,1
0,1,1,1
4396,0,1,1
0,1,1,1
13921,1,1,1
0,1,1,1
16167,1,1,1
0,1,1,1
9210,0,0,1
0,1,1,1
28607,1,1,1
0,1,1,1
7163,0,1,1
0,1,1,1
7031,1,1,1
0,1,1,1
20002,1,1,1
0,1,1,1
647,1,1,1
0,1,1,1
2285,1,1,1
0,1,1,1
4340,1,1,1
0,1,1,1
19275,0,1,1
0,1,1,1
11565,1,1,1
0,1,1,1
5113,0,1,1
0,1,0,1
2298,0,1,1
0,1,1,1
20304,1,1,1
0,1,1,1
2687,1,1,1
0,1,1,1
2936,1,1,1
0,1,1,1
2125,0,1,1
0,1,1,1
6501,1,1,1
0,1,1,1
30674,0,1,1
0,1,1,1
1564,1,1,1
0,1,1,1
395,0,1,1
0,1,1,1
27521,0,1,1
0,1,1,1
27134,0,1,1
0,1,1,1
1836,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
17593,1,1,1
0,1,1,1
6557,1,1,1
0,1,1,1
1777,1,1,1
0,1,1,1
4961,0,1,1
0,1,0,1
0,0,1,1
0,1,1,1
25275,1,1,1
0,1,1,1
5220,0,1,1
0,1,1,1
20002,1,1,1
0,1,1,1
3137,1,1,1
0,1,1,1
4048,0,1,1
0,1,1,1
21379,1,1,1
0,1,1,1
4048,0,1,1
0,1,1,1
24088,0,1,1
0,1,1,1
22671,0,1,1
0,1,1,1
5036,1,1,1
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
16125,0,1,1
0,1,1,1
4514,1,1,1
0,1,1,1
0,0,1,1
0,1,1,1
20314,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1340,0,1,1
0,1,1,1
3191,1,1,1
0,1,1,1
2210,1,1,1
0,1,1,1
10532,1,1,1
0,1,1,1
17273,0,1,1
0,1,1,1
225,0,1,1
0,1,1,1
34,1,1,1
0,1,1,1
233,1,1,1
0,1,1,1
2560,1,1,1
0,1,1,1
631,1,1,1
0,1,1,1
10779,1,1,1
0,1,1,1
7000,1,0,1
0,1,1,1
15645,0,1,1
0,1,1,1
13942,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
11221,1,1,1
0,1,1,1
2100,1,1,1
0,1,1,1
1876,0,1,1
0,1,1,1
1157,1,1,1
0,1,1,1
1042,1,1,1
0,1,1,1
688,1,1,1
0,1,1,1
110,1,1,1
0,1,1,1
1913,1,1,1
0,1,1,1
1109,1,1,1
0,1,1,1
116,1,1,1
0,1,1,1
851,1,1,1
0,1,1,1
363,1,1,1
0,1,1,1
190,1,1,1
0,1,1,1
23,1,1,1
0,1,1,1
122,1,1,1
0,1,1,1
886,1,1,1
0,1,1,1
4,1,1,1
0,1,1,1
86,1,1,1
0,1,1,1
21,1,1,1
0,1,1,1
76,1,1,1
0,1,1,1
2226,1,1,1
0,1,1,1
2467,1,1,1
0,1,1,1
16,1,1,1
0,1,1,1
109,1,1,1
0,1,1,1
290,1,1,1
0,1,1,1
1704,1,1,1
0,1,1,1
892,1,1,1
0,1,1,1
1004,1,1,1
0,1,1,1
340,1,1,1
0,1,1,1
11534,0,1,1
0,1,1,1
6826,0,1,1
0,1,1,1
5566,0,0,1
0,1,1,1
1057,1,1,1
0,1,0,1
8007,0,1,1
0,1,1,1
5928,1,1,1
0,1,1,1
6489,0,1,1
0,1,1,1
7272,1,1,1
0,1,1,1
5984,0,1,1
0,1,1,1
7490,0,1,1
0,1,1,1
149,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
2994,1,1,1
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,1,1,1
2630,0,1,1
0,1,1,1
3159,0,1,1
0,1,1,1
2098,0,1,1
0,1,1,1
1959,0,1,1
0,1,1,1
1905,0,1,1
0,1,1,1
1100,0,1,1
0,1,1,1
10167,0,1,1
0,1,0,1
580,0,1,1
0,1,1,1
2662,0,1,1
0,1,1,1
445,0,0,1
0,1,1,1
1774,1,1,1
0,1,0,1
4000,1,0,1
0,1,1,1
