time,prevBugs,smelly,event
3765,0,1,1
0,1,1,1
1268,0,1,1
0,1,1,1
23,1,1,1
0,1,1,1
278,1,1,1
0,1,1,1
62,1,1,1
0,1,1,1
120,1,1,1
0,1,1,1
1124,1,1,1
0,1,1,1
769,1,1,1
0,1,1,1
121,1,1,1
0,1,1,1
506,1,1,1
0,1,1,1
244,1,1,1
0,1,1,1
79,1,1,1
0,1,1,1
299,1,1,1
0,1,1,1
4,1,1,1
0,1,1,1
8438,1,1,1
0,1,1,1
1416,0,1,1
0,1,1,1
0,1,1,1
0,1,1,1
430,1,1,1
0,1,1,1
1919,1,1,1
0,1,1,1
506,1,1,1
0,1,1,1
35612,1,1,1
0,1,1,1
2877,0,1,1
0,1,1,1
92,1,1,1
0,1,1,1
2876,0,1,1
0,1,1,1
4,1,1,1
0,1,1,1
4752,1,1,1
0,1,1,1
23430,1,1,1
0,1,1,1
1220,1,1,1
0,1,0,1
4893,0,0,1
0,1,1,1
4,1,0,1
0,1,1,1
1750,0,1,1
0,1,0,1
11332,1,1,1
0,1,0,1
1284,0,1,1
0,1,1,1
170,0,1,1
0,1,1,1
181,1,1,1
0,1,1,1
2289,1,1,1
0,1,1,1
1991,0,1,1
0,1,1,1
68,1,1,1
0,1,1,1
52,1,1,1
0,1,1,1
538,0,1,1
0,1,1,1
287,1,1,1
0,1,1,1
474,1,1,1
0,1,1,1
148,1,1,1
0,1,1,1
405,1,1,1
0,1,1,1
26,0,1,1
0,1,1,1
474,1,1,1
0,1,1,1
148,1,1,1
0,1,1,1
405,1,1,1
0,1,1,1
13234,0,0,1
0,1,1,1
3746,1,0,1
0,1,1,1
18486,0,1,1
0,1,1,1
